Metric,Detail1,Detail2,Detail3,Detail4,Data Date (MM/DD/YYYY),GeographicLevel,GeographicName,Value_NUMBER,Units,MOST RECENT DATA,COVID Team,Date and time of update,Subgroup,Value_Text,URLLINK
# of Ventilators (ordered),Ventilators,CAPACITY,On back order,,12/14/2020,State,Minnesota,0,ventilators,,Hospital Surge Capacity,12/14/2020,,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
# of Ventilators (ordered),Ventilators,CAPACITY,In warehouse,,12/14/2020,State,Minnesota,123,ventilators,,Hospital Surge Capacity,12/14/2020,,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
  $ Available to MN  ,State Funds,State,  Available  ,,12/11/2020,State,Minnesota,563781848,dollars,1,Funding,12/31/2020,563.8,$564M,https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Coronavirus Relief Fund - Local,Federal,  Available  ,,7/14/2020,State,Minnesota,1158370613,dollars,1,Funding,12/31/2020,1158.4,"$1,158M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Coronavirus Relief Fund - State,Federal,  Available  ,,12/11/2020,State,Minnesota,1036008945,dollars,1,Funding,12/31/2020,1036,"$1,036M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Available to MN  ,Grant/Formula Allocation,Federal,  Available  ,,9/22/2020,State,Minnesota,1400184966,dollars,1,Funding,12/31/2020,1400.2,"$1,400M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Coronavirus Relief Fund - Local,Federal,  Authority granted  ,,7/14/2020,State,Minnesota,1158370613,dollars,1,Funding,12/31/2020,1158.4,"$1,158M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Grant/Formula Allocation,Federal,  Authority granted  ,,10/26/2020,State,Minnesota,1316612420,dollars,1,Funding,12/31/2020,1316.6,"$1,317M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,Coronavirus Relief Fund - State,Federal,  Authority granted  ,,12/30/2020,State,Minnesota,1038943575,dollars,1,Funding,12/31/2020,1038.9,"$1,039M",https://mn.gov/mmb/budget/covid19-mn-fund/
  $ Spending Authority Granted  ,State Funds,State,  Authority granted  ,,1/4/2021,State,Minnesota,531899074,dollars,1,Funding,12/31/2020,621.3,$621M,https://mn.gov/mmb/budget/covid19-mn-fund/
# of Face masks,Awaiting Delivery,Total,,,3/12/2021,State,Minnesota,0,Face masks,,Critical Care Supplies,3/12/2021,,0M,https://www.mn.gov/ppe
# of Face shields,Awaiting Delivery,Total,,,3/12/2021,State,Minnesota,99000,Face shields*,,Critical Care Supplies,3/12/2021,,0,https://www.mn.gov/ppe
# of Gloves (non-latex),Awaiting Delivery,Total,,,3/12/2021,State,Minnesota,"12,115,250",Gloves (non-latex),,Critical Care Supplies,3/12/2021,,12.1M,https://www.mn.gov/ppe
# of Gowns,Awaiting Delivery,Total,,,3/12/2021,State,Minnesota,0,Gowns*,,Critical Care Supplies,3/12/2021,,0,https://www.mn.gov/ppe
# of N95 respirators,Awaiting Delivery,Total,,,3/12/2021,State,Minnesota,0,N95 respirators,,Critical Care Supplies,3/12/2021,,0M,https://www.mn.gov/ppe
# of Face masks,Current inventory,Total,,,3/12/2021,State,Minnesota,"8,431,664",Face masks,,Critical Care Supplies,3/12/2021,,8.4M,https://www.mn.gov/ppe
# of Face shields,Current inventory,Total,,,3/12/2021,State,Minnesota,"800,713",Face shields*,,Critical Care Supplies,3/12/2021,,0.8M,https://www.mn.gov/ppe
# of Gloves (non-latex),Current inventory,Total,,,3/12/2021,State,Minnesota,"39,576,600",Gloves (non-latex),,Critical Care Supplies,3/12/2021,,39.6M,https://www.mn.gov/ppe
# of Gowns,Current inventory,Total,,,3/12/2021,State,Minnesota,"5,990,555",Gowns*,,Critical Care Supplies,3/12/2021,,6M,https://www.mn.gov/ppe
# of N95 respirators,Current inventory,Total,,,3/12/2021,State,Minnesota,"2,809,948",N95 respirators,,Critical Care Supplies,3/12/2021,,2.8M,https://www.mn.gov/ppe
# of Face masks,Distributed,Total,,,3/12/2021,State,Minnesota,"15,131,836",Face masks,,Critical Care Supplies,3/12/2021,,15.1M,https://www.mn.gov/ppe
# of Face shields,Distributed,Total,,,3/12/2021,State,Minnesota,892344,Face shields*,,Critical Care Supplies,3/12/2021,,892K,https://www.mn.gov/ppe
# of Gloves (non-latex),Distributed,Total,,,3/12/2021,State,Minnesota,"17,643,199",Gloves (non-latex),,Critical Care Supplies,3/12/2021,,17.6M,https://www.mn.gov/ppe
# of Gowns,Distributed,Total,,,3/12/2021,State,Minnesota,"1,096,538",Gowns*,,Critical Care Supplies,3/12/2021,,1.1M,https://www.mn.gov/ppe
# of N95 respirators,Distributed,Total,,,3/12/2021,State,Minnesota,"262,893",N95 respirators,,Critical Care Supplies,3/12/2021,,263K,https://www.mn.gov/ppe
# of Face masks,Obtained,Total,,,3/12/2021,State,Minnesota,"23,563,500",Face masks,,Critical Care Supplies,3/12/2021,,23.6M,https://www.mn.gov/ppe
# of Face shields,Obtained,Total,,,3/12/2021,State,Minnesota,"1,693,057",Face shields*,,Critical Care Supplies,3/12/2021,,1.7M,https://www.mn.gov/ppe
# of Gloves (non-latex),Obtained,Total,,,3/12/2021,State,Minnesota,"57,219,799",Gloves (non-latex),,Critical Care Supplies,3/12/2021,,57.2M,https://www.mn.gov/ppe
# of Gowns,Obtained,Total,,,3/12/2021,State,Minnesota,"7,087,093",Gowns*,,Critical Care Supplies,3/12/2021,,7.1M,https://www.mn.gov/ppe
# of N95 respirators,Obtained,Total,,,3/12/2021,State,Minnesota,"3,072,841",N95 respirators,,Critical Care Supplies,3/12/2021,,3.1M,https://www.mn.gov/ppe
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,Central,181,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,Metro,480,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,Northeast,107,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,Northwest,35,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,South Central,49,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,Southeast,76,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,Southwest,14,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,Regional Health Care,West Central,14,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,Capacity,Surge,,3/17/2021,State,Minnesota,956,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,Central,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,Metro,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,Northeast,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,Northwest,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,South Central,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,Southeast,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,Southwest,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,Regional Health Care,West Central,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Beds,In use,Surge,,3/17/2021,State,Minnesota,0,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,Central,148,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,Metro,898,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,Northeast,179,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,Northwest,42,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,South Central,52,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,Southeast,96,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,Southwest,42,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,Regional Health Care,West Central,48,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,Capacity,Surge,,3/17/2021,State,Minnesota,1505,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,Central,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,Metro,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,Northeast,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,Northwest,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,South Central,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,Southeast,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,Southwest,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,Regional Health Care,West Central,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,Surge,,3/17/2021,State,Minnesota,0,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,Central,116,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,Metro,106,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,Northeast,114,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,Northwest,89,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,South Central,100,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,Southeast,89,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,Southwest,104,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,Regional Health Care,West Central,91,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,Non-ICU,Available,,,3/17/2021,State,Minnesota,809,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,Central,31,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,Metro,40,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,Northeast,15,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,Northwest,16,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,South Central,8,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,Southeast,19,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,Southwest,8,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,Regional Health Care,West Central,12,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Beds,ICU,Available,,,3/17/2021,State,Minnesota,149,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,Central,126,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,Metro,735,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,Northeast,80,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,Northwest,35,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,South Central,34,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,Southeast,96,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,Southwest,24,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,Regional Health Care,West Central,14,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of Ventilators,Ventilators,Available,,,3/17/2021,State,Minnesota,1144,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,State,Minnesota,7413,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,Central,769,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,Metro,3687,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,Northeast,689,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,Northwest,242,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,South Central,369,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,Southeast,1105,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,Southwest,362,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,CAPACITY,,,3/17/2021,Regional Health Care,West Central,190,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,State,Minnesota,1212,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,Central,107,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,Metro,688,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,Northeast,102,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,Northwest,29,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,South Central,23,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,Southeast,222,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,Southwest,21,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,CAPACITY,,,3/17/2021,Regional Health Care,West Central,20,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,State,Minnesota,1548,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,Central,143,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,Metro,1043,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,Northeast,84,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,Northwest,37,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,South Central,47,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,Southeast,146,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,Southwest,34,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,CAPACITY,,,3/17/2021,Regional Health Care,West Central,14,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,State,Minnesota,6604,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,Central,653,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,Metro,3581,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,Northeast,575,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,Northwest,153,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,South Central,269,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,Southeast,1016,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,Southwest,258,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,Non-ICU,In use,,,3/17/2021,Regional Health Care,West Central,99,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,State,Minnesota,1063,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,Central,76,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,Metro,648,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,Northeast,87,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,Northwest,13,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,South Central,15,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,Southeast,203,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,Southwest,13,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of beds,ICU,In use,,,3/17/2021,Regional Health Care,West Central,8,Beds,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
Number of ventilators,Ventilators,In use,,,3/17/2021,State,Minnesota,404,Ventilators,1,Hospital Surge Capacity,3/17/2021,MNTrac,,https://www.health.state.mn.us/diseases/coronavirus/situation.html
