"Date","Total.cases","Total.tested","Total.deaths","Total.recovered","Total.tested.people","Total.vaccine","Total.people.vaccine.completed","Total.people.vaccine.onedose","DateReport","IcuAdmit","HospitalAdmit","Total.Hospital","Total.ICU","Total.casesBySpecimenDate","New.casesBySpecimenDate","MDHTestsByReportDate","ExternalPcr","TotalPcr","ExternalAntigen","TotalAntigen","TotalTestsByReportDate","ExternalTestsByReportDate","ICU","Currently.hospitalized"
2020-11-11,194570,3194842,2754,157164,2043656,NA,NA,NA,2020-11-10,39,250,12622,3124,225582,8306,192,23622,3157929,877,45304,3203233,24499,283,1299
2020-11-12,201795,3253880,2793,159467,2068676,NA,NA,NA,2020-11-11,34,240,12862,3158,233296,7714,623,42032,3200584,5802,51106,3251690,47834,298,1396
2020-11-13,207339,3304436,2839,161756,2093262,NA,NA,NA,2020-11-12,39,247,13109,3197,240734,7438,450,48262,3249296,2338,53444,3302740,50600,292,1421
2020-11-14,216028,3356392,2874,167234,2116633,NA,NA,NA,2020-11-13,25,242,13351,3222,248153,7419,998,50366,3300660,1023,54467,3355127,51389,292,1457
2020-11-15,223581,3421682,2905,172873,2148661,NA,NA,NA,2020-11-14,39,247,13598,3261,252491,4338,652,59601,3360913,3201,57668,3418581,62802,312,1484
2020-11-16,231018,3472833,2917,179614,2173425,NA,NA,NA,2020-11-15,40,239,13837,3301,256404,3913,751,49547,3411211,2039,59707,3470918,51586,324,1569
2020-11-17,236949,3506178,2943,186680,2188157,NA,NA,NA,2020-11-16,50,304,14141,3351,265196,8792,0,31663,3442874,1809,61516,3504390,33472,345,1663
2020-11-18,242043,3543671,3010,193869,2204412,NA,NA,NA,2020-11-17,37,274,14415,3388,273065,7869,244,33033,3476151,3797,65313,3541464,36830,355,1717
2020-11-19,249906,3601197,3082,198365,2233137,NA,NA,NA,2020-11-18,34,280,14695,3422,280624,7559,719,54395,3531265,1820,67133,3598398,56215,366,1745
2020-11-20,256700,3659452,3150,202432,2260294,NA,NA,NA,2020-11-19,50,310,15005,3472,287663,7039,866,53371,3585502,4387,71520,3657022,57758,367,1781
2020-11-21,262952,3712110,3201,211513,2277980,NA,NA,NA,2020-11-20,46,220,15225,3518,294416,6753,497,60675,3646674,1510,73030,3719704,62185,361,1802
2020-11-22,270157,3779834,3241,219720,2314094,NA,NA,NA,2020-11-21,34,225,15450,3552,298087,3671,693,48815,3696182,7037,80067,3776249,55852,364,1772
2020-11-23,276500,3837304,3265,227311,2340776,NA,NA,NA,2020-11-22,47,239,15689,3599,301227,3140,709,55341,3752232,937,81004,3833236,56278,364,1792
2020-11-24,282916,3891159,3303,233847,2364943,NA,NA,NA,2020-11-23,44,262,15951,3643,309250,8023,0,52630,3804862,540,81544,3886406,53170,377,1822
2020-11-25,289303,3956949,3375,240720,2397718,NA,NA,NA,2020-11-24,37,270,16221,3680,316488,7238,619,62036,3867517,2677,84221,3951738,64713,385,1814
2020-11-26,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-25,39,222,16443,3719,322489,6001,674,48462,3916653,6545,90766,4007419,55007,378,1792
2020-11-27,295001,4012524,3476,244982,2420584,NA,NA,NA,2020-11-26,46,197,16640,3765,323297,808,784,68433,3985870,3586,94352,4080222,72019,382,1778
2020-11-28,304023,4121906,3521,257485,2468458,NA,NA,NA,2020-11-27,52,254,16894,3817,328642,5345,1,35852,4021723,641,94993,4116716,36493,392,1752
2020-11-29,312969,4219424,3578,265223,2512690,NA,NA,NA,2020-11-28,47,211,17105,3864,332713,4071,538,89062,4111323,8001,102994,4214317,97063,381,1830
2020-11-30,318763,4262806,3593,272608,2529673,NA,NA,NA,2020-11-29,31,214,17319,3895,335899,3186,232,41695,4153250,1493,104487,4257737,43188,393,1864
2020-12-01,322312,4284823,3615,279540,2539003,NA,NA,NA,2020-11-30,42,245,17564,3937,343644,7745,17,21980,4175247,761,105248,4280495,22741,394,1848
2020-12-02,327477,4326347,3692,286219,2556743,NA,NA,NA,2020-12-01,32,230,17794,3969,350057,6413,276,39555,4215078,2845,108093,4323171,42400,399,1781
2020-12-03,333626,4379610,3784,290019,2576812,NA,NA,NA,2020-12-02,34,203,17997,4003,355674,5617,465,45324,4260867,4792,112885,4373752,50116,376,1770
2020-12-04,338973,4439728,3845,293151,2600356,NA,NA,NA,2020-12-03,28,217,18214,4031,360484,4810,462,55224,4316553,4634,117519,4434072,59858,368,1679
2020-12-05,345281,4492421,3920,301081,2618431,NA,NA,NA,2020-12-04,31,224,18438,4062,365170,4686,649,47581,4364783,4414,121933,4486716,51995,363,1625
2020-12-06,350862,4559825,3984,308218,2643538,NA,NA,NA,2020-12-05,25,155,18593,4087,367488,2318,420,60050,4425253,6264,128197,4553450,66314,360,1589
2020-12-07,356152,4623492,4005,314138,2669121,NA,NA,NA,2020-12-06,34,166,18759,4121,369644,2156,213,62418,4487884,859,129056,4616940,63277,350,1580
2020-12-08,359203,4650726,4027,314957,2679221,NA,NA,NA,2020-12-07,33,213,18972,4154,374493,4849,0,24627,4512511,2695,131751,4644262,27322,357,1592
2020-12-09,363719,4690213,4109,320233,2695015,NA,NA,NA,2020-12-08,43,211,19183,4197,378850,4357,254,34534,4547299,4635,136386,4683685,39169,355,1544
2020-12-10,367218,4731719,4198,324304,2708431,NA,NA,NA,2020-12-09,36,198,19381,4233,382255,3405,350,37818,4585467,3216,139602,4725069,41034,349,1538
2020-12-11,370968,4789829,4292,327509,2726470,NA,NA,NA,2020-12-10,27,167,19548,4260,385286,3031,384,52911,4638762,5001,144603,4783365,57912,343,1498
2020-12-12,375398,4840190,4359,335258,2743864,NA,NA,NA,2020-12-11,31,170,19718,4291,388383,3097,384,45884,4685030,3778,148381,4833411,49662,340,1406
2020-12-13,378823,4888424,4444,341530,2759354,NA,NA,NA,2020-12-12,33,147,19865,4324,390079,1696,456,42009,4727495,5447,153828,4881323,47456,323,1341
2020-12-14,381841,4933794,4462,347077,2774930,NA,NA,NA,2020-12-13,22,143,20008,4346,391513,1434,125,41772,4769392,3406,157234,4926626,45178,319,1290
2020-12-15,384164,4965904,4483,351820,2787251,NA,NA,NA,2020-12-14,28,172,20180,4374,394773,3260,0,30693,4800085,1303,158537,4958622,31996,300,1307
2020-12-16,386412,4985470,4575,356384,2793893,NA,NA,NA,2020-12-15,25,161,20341,4399,397793,3020,434,16087,4816606,3040,161577,4978183,19127,304,1277
2020-12-17,389171,5033129,4658,358667,2808530,NA,NA,NA,2020-12-16,29,148,20489,4428,400145,2352,96,41882,4858584,5608,167185,5025769,47490,283,1229
2020-12-18,391889,5096768,4723,360868,2826456,NA,NA,NA,2020-12-17,12,127,20616,4440,402423,2278,529,57744,4916857,5600,172785,5089642,63344,270,1146
2020-12-19,394635,5133936,4780,365620,2836898,NA,NA,NA,2020-12-18,20,135,20751,4460,404655,2232,289,31410,4948556,4220,177005,5125561,35630,261,1099
2020-12-20,397319,5199011,4850,369912,2859220,NA,NA,NA,2020-12-19,13,112,20863,4473,405936,1281,195,57796,5006547,6789,183794,5190341,64585,241,1056
2020-12-21,399311,5232347,4872,373301,2870337,NA,NA,NA,2020-12-20,16,105,20968,4489,406932,996,295,31494,5038336,1520,185314,5223650,33014,239,1050
2020-12-22,401011,5264561,4896,376354,2881770,NA,NA,NA,2020-12-21,27,123,21091,4516,409539,2607,0,29879,5068215,2146,187460,5255675,32025,228,1060
2020-12-23,402519,5287998,4971,379512,2889650,NA,NA,NA,2020-12-22,26,129,21220,4542,411645,2106,221,17707,5086143,5604,193064,5279207,23311,238,1076
2020-12-24,404403,5339550,5050,381269,2903339,NA,NA,NA,2020-12-23,14,110,21330,4556,413147,1502,327,46606,5133076,4705,197769,5330845,51311,238,1048
2020-12-25,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-24,12,84,21414,4568,414041,894,376,44996,5178448,7451,205220,5383668,52447,230,988
2020-12-26,406545,5392411,5107,382705,2918243,NA,NA,NA,2020-12-25,23,106,21520,4591,414281,240,172,44101,5222721,2991,208211,5430932,47092,221,911
2020-12-27,409061,5480439,5147,388919,2947634,NA,NA,NA,2020-12-26,15,125,21645,4606,415888,1607,0,38301,5261022,2321,210532,5471554,40622,220,928
2020-12-28,410138,5493773,5160,391248,2952115,2999,NA,NA,2020-12-27,27,112,21757,4633,417096,1208,113,11918,5273053,1235,211767,5484820,13153,212,944
2020-12-29,411110,5501277,5196,393506,2953229,38014,NA,NA,2020-12-28,15,134,21891,4648,419969,2873,26,6636,5279715,1064,212831,5492546,7700,213,964
2020-12-30,413107,5527037,5262,395679,2961242,38284,NA,NA,2020-12-29,17,108,21999,4665,422267,2298,82,20658,5300455,4929,217760,5518215,25587,207,926
2020-12-31,415302,5574962,5323,397080,2972804,44638,NA,NA,2020-12-30,19,125,22124,4684,424585,2318,394,42300,5343149,5725,223485,5566634,48025,197,900
2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-31,12,78,22202,4696,426224,1639,362,36183,5379694,4972,228457,5608151,41155,190,864
2021-01-02,417832,5616567,5377,398199,2982853,57017,NA,NA,2021-01-01,14,96,22298,4710,426742,518,316,49295,5429305,5000,233457,5662762,54295,177,856
2021-01-03,420544,5713240,5430,403419,3017309,57017,NA,NA,2021-01-02,24,106,22404,4734,428575,1833,0,38152,5467457,3200,236657,5704114,41352,168,821
2021-01-04,423688,5723166,5443,405556,3020132,78402,NA,NA,2021-01-03,15,91,22495,4749,429967,1392,225,8468,5476150,1283,237940,5714090,9751,156,814
2021-01-05,425261,5738715,5461,406667,3024296,80857,NA,NA,2021-01-04,18,101,22596,4767,432960,2993,0,14507,5490657,1114,239054,5729711,15621,155,842
2021-01-06,427587,5762307,5528,406910,3031983,81167,NA,NA,2021-01-05,9,101,22697,4776,435213,2253,212,19650,5510519,3714,242768,5753287,23364,140,817
2021-01-07,429570,5803829,5572,408510,3041891,91174,NA,NA,2021-01-06,7,92,22789,4783,437090,1877,432,34638,5545589,6913,249681,5795270,41551,135,787
2021-01-08,431944,5852830,5620,409727,3054379,104226,NA,NA,2021-01-07,10,89,22878,4793,438896,1806,294,43877,5589760,5062,254743,5844503,48939,130,757
2021-01-09,434413,5895442,5663,412546,3067884,119744,NA,NA,2021-01-08,11,100,22978,4804,440561,1665,196,37398,5627354,5034,259777,5887131,42432,132,724
2021-01-10,436572,5935902,5707,414756,3082747,132280,NA,NA,2021-01-09,20,73,23051,4824,441574,1013,205,35884,5663443,5671,265448,5928891,41555,131,666
2021-01-11,437552,5953863,5711,417005,3089057,147645,NA,NA,2021-01-10,6,63,23114,4830,442350,776,166,13325,5676934,988,266436,5943370,14313,141,688
2021-01-12,438867,5982456,5724,418610,3097074,153332,NA,NA,2021-01-11,13,88,23202,4843,444395,2045,1,27835,5704770,976,267412,5972182,28811,135,692
2021-01-13,440354,6006711,5774,419139,3104508,NA,NA,NA,2021-01-12,13,96,23298,4856,445705,1310,208,18583,5723561,5256,272668,5996229,23839,129,668
2021-01-14,441935,6043802,5817,420919,3112884,169416,NA,NA,2021-01-13,16,89,23387,4872,447175,1470,345,32525,5756431,3697,276365,6032796,36222,131,651
2021-01-15,443562,6090114,5850,422289,3124903,187074,NA,NA,2021-01-14,16,94,23481,4888,448491,1316,459,40987,5797877,5283,281648,6079525,46270,125,616
2021-01-16,445047,6121001,5887,425253,3134557,206559,NA,NA,2021-01-15,16,81,23562,4904,449651,1160,199,27280,5825356,3132,284780,6110136,30412,124,625
2021-01-17,446380,6152636,5927,427468,3145270,221183,NA,NA,2021-01-16,8,59,23621,4912,450511,860,359,26822,5852537,4404,289184,6141721,31226,119,605
2021-01-18,447349,6173664,5939,429325,3152124,232952,NA,NA,2021-01-17,12,66,23687,4924,451209,698,0,20444,5872981,1063,290247,6163228,21507,119,589
2021-01-19,448268,6188091,5945,431096,3156853,238935,NA,NA,2021-01-18,13,80,23767,4937,452734,1525,0,12561,5885542,1698,291945,6177487,14259,110,584
2021-01-20,449492,6206196,5979,432738,3162258,239910,NA,NA,2021-01-19,12,73,23840,4949,454106,1372,36,14663,5900241,3634,295579,6195820,18297,111,570
2021-01-21,450762,6247442,6011,433722,3170947,246364,NA,NA,2021-01-20,15,94,23934,4964,455396,1290,284,35225,5935750,5750,301329,6237079,40975,98,558
2021-01-22,452268,6289662,6032,434515,3181066,264275,NA,NA,2021-01-21,19,72,24006,4983,456589,1193,365,39340,5975455,3077,304406,6279861,42417,104,544
2021-01-23,453808,6332647,6063,436544,3193783,289846,NA,NA,2021-01-22,9,59,24065,4992,457721,1132,275,40704,6016434,3748,308154,6324588,44452,112,546
2021-01-24,454989,6367721,6095,437827,3206509,311600,NA,NA,2021-01-23,10,46,24111,5002,458384,663,283,27866,6044583,7014,315168,6359751,34880,103,507
2021-01-25,455783,6388959,6098,439283,3214445,335477,NA,NA,2021-01-24,10,46,24157,5012,458918,534,114,19145,6063842,2071,317239,6381081,21216,99,510
2021-01-26,456490,6399553,6106,440596,3214791,353113,NA,NA,2021-01-25,6,76,24233,5018,460161,1243,0,9713,6073555,1090,318329,6391884,10803,100,496
2021-01-27,457317,6420268,6124,441740,3220489,375934,NA,NA,2021-01-26,10,66,24299,5028,461213,1052,191,15417,6089163,5161,323490,6412653,20578,97,477
2021-01-28,458633,6467868,6140,442600,3233070,407063,NA,NA,2021-01-27,10,67,24366,5038,462298,1085,281,42039,6131483,5176,328666,6460149,47215,98,442
2021-01-29,459747,6513797,6168,443253,3244005,444164,NA,NA,2021-01-28,8,45,24411,5046,463305,1007,443,40425,6172351,3714,332380,6504731,44139,95,450
2021-01-30,460819,6545968,6187,444782,3253030,488360,NA,NA,2021-01-29,8,51,24462,5054,464289,984,205,29863,6202419,2884,335264,6537683,32747,88,422
2021-01-31,461807,6576802,6200,446137,3264300,531048,NA,NA,2021-01-30,2,31,24493,5056,464904,615,178,25947,6228544,4572,339836,6568380,30519,86,387
2021-02-01,462528,6597842,6202,447420,3270895,559383,NA,NA,2021-01-31,7,59,24552,5063,465412,508,263,19218,6248025,1851,341687,6589712,21069,92,387
2021-02-02,463132,6607932,6210,448595,3271158,565603,NA,NA,2021-02-01,13,56,24608,5076,466562,1150,8,9068,6257101,1109,342796,6599897,10177,84,394
2021-02-03,463766,6628961,6234,449707,3276111,582395,NA,NA,2021-02-02,8,55,24663,5084,467603,1041,277,16997,6274375,4095,346891,6621266,21092,77,379
2021-02-04,465176,6679181,6251,450383,3288834,604864,NA,NA,2021-02-03,4,47,24710,5088,468617,1014,185,43999,6318559,6174,353065,6671624,50173,82,370
2021-02-05,466224,6717419,6273,450924,3296876,637015,NA,NA,2021-02-04,8,75,24785,5096,469498,881,184,35523,6354266,3286,356351,6710617,38809,82,362
2021-02-06,467217,6751744,6289,452183,3305989,673586,NA,NA,2021-02-05,6,54,24839,5102,470499,1001,192,30611,6385069,3535,359886,6744955,34146,80,368
2021-02-07,468118,6780024,6299,453225,3314427,711678,NA,NA,2021-02-06,6,33,24872,5108,471034,535,118,23083,6408270,4697,364583,6772853,27780,79,353
2021-02-08,468682,6798547,6302,454290,3321315,727475,NA,NA,2021-02-07,7,39,24911,5115,471428,394,163,17409,6425842,705,365288,6791130,18114,80,331
2021-02-09,469254,6808634,6308,455280,3322594,732216,NA,NA,2021-02-08,19,67,24978,5134,472445,1017,19,9861,6435722,721,366009,6801731,10582,74,321
2021-02-10,469905,6828887,6319,456244,3327336,753019,NA,NA,2021-02-09,10,65,25043,5144,473299,854,160,16564,6452446,3557,369566,6822012,20121,78,317
2021-02-11,470803,6871077,6343,456849,3337790,777459,NA,NA,2021-02-10,10,58,25101,5154,474230,931,277,38598,6491321,4203,373769,6865090,42801,76,320
2021-02-12,471851,6914135,6362,457359,3348043,808827,NA,NA,2021-02-11,7,58,25159,5161,475064,834,456,38674,6530451,4557,378326,6908777,43231,71,325
2021-02-13,472791,6944687,6369,458492,3356005,852002,NA,NA,2021-02-12,6,55,25214,5167,475895,831,191,27817,6558459,2746,381072,6939531,30563,70,331
2021-02-14,473567,6971879,6376,459525,3365599,889831,NA,NA,2021-02-13,6,37,25251,5173,476405,510,192,22920,6581571,4144,385216,6966787,27064,64,323
2021-02-15,474169,6990085,6378,460537,3371276,914984,NA,NA,2021-02-14,9,38,25289,5182,476823,418,148,17161,6598880,800,386016,6984896,17961,66,322
2021-02-16,474621,6999322,6380,461406,3373632,927384,NA,NA,2021-02-15,9,45,25334,5191,477644,821,0,7981,6606861,1373,387389,6994250,9354,57,315
2021-02-17,475379,7021209,6390,462502,3378669,943251,NA,NA,2021-02-16,13,48,25382,5204,478522,878,60,18558,6625479,3532,390921,7016400,22090,54,314
2021-02-18,476292,7055550,6404,463041,3386418,975626,NA,NA,2021-02-17,10,39,25421,5214,479351,829,287,30801,6656567,2718,393639,7050206,33519,58,303
2021-02-19,477287,7100497,6412,463454,3398592,1016210,NA,NA,2021-02-18,6,47,25468,5220,480179,828,375,39171,6696113,5733,399372,7095485,44904,59,281
2021-02-20,478157,7132441,6423,464504,3406347,1059617,NA,NA,2021-02-19,7,34,25502,5227,480981,802,123,28310,6724546,3675,403047,7127593,31985,51,283
2021-02-21,479036,7161046,6432,465382,3417125,1097679,NA,NA,2021-02-20,9,27,25529,5236,481474,493,226,25313,6750085,3157,406204,7156289,28470,50,253
2021-02-22,479591,7178713,6433,466311,3422813,1118532,NA,NA,2021-02-21,9,29,25558,5245,481937,463,191,16222,6766498,1190,407394,7173892,17412,48,243
2021-02-23,480091,7187985,6434,467147,3425265,1125916,NA,NA,2021-02-22,7,53,25611,5252,482957,1020,30,8540,6775068,847,408241,7183309,9387,55,269
2021-02-24,480845,7207381,6443,467969,3430620,1142741,NA,NA,2021-02-23,4,46,25657,5256,483851,894,151,16412,6791631,3192,411433,7203064,19604,59,292
2021-02-25,481831,7249977,6450,468498,3442907,1171258,NA,NA,2021-02-24,7,43,25700,5263,484662,811,277,35420,6827328,6899,418332,7245660,42319,53,277
2021-02-26,482978,7289410,6462,469149,3453214,1212816,NA,NA,2021-02-25,8,43,25743,5271,485480,818,270,35233,6862831,4041,422373,7285204,39274,60,263
2021-02-27,483790,7316923,6475,469959,3459381,1269572,NA,NA,2021-02-26,6,44,25787,5277,486333,853,183,25206,6888220,2741,425114,7313334,27947,55,248
2021-02-28,484594,7346457,6483,470819,3469706,1338841,NA,NA,2021-02-27,9,36,25823,5286,486790,457,238,24277,6912735,4620,429734,7342469,28897,51,230
2021-03-01,485230,7365792,6486,471647,3476724,1371772,NA,NA,2021-02-28,11,36,25859,5297,487169,379,114,17986,6930835,1170,430904,7361739,19156,47,232
2021-03-02,485655,7376464,6490,472470,3478891,1383609,NA,NA,2021-03-01,1,35,25894,5298,488154,985,0,9399,6940234,1408,432312,7372546,10807,60,251
2021-03-03,486434,7396423,6507,473252,3484045,1415372,NA,NA,2021-03-02,3,24,25918,5301,489027,873,223,17238,6957695,3009,435321,7393016,20247,60,243
2021-03-04,487374,7465199,6521,473728,3499299,1450360,NA,NA,2021-03-03,7,40,25958,5308,489960,933,219,62643,7020557,5775,441096,7461653,68418,59,229
2021-03-05,488170,7502722,6534,474175,3507277,1498369,NA,NA,2021-03-04,9,33,25991,5317,490886,926,255,33578,7054390,3197,444293,7498683,36775,57,224
2021-03-06,489116,7534637,6546,475170,3515063,1561329,NA,NA,2021-03-05,5,28,26019,5322,491750,864,447,27528,7082365,3935,448228,7530593,31463,53,216
2021-03-07,490011,7563391,6550,476055,3524061,1612722,NA,NA,2021-03-06,2,33,26052,5324,492300,550,273,24885,7107523,3292,451520,7559043,28177,37,210
2021-03-08,490483,7599660,6556,476856,3539172,1655056,NA,NA,2021-03-07,14,58,26110,5338,492855,555,144,27347,7135014,703,452223,7587237,28050,46,223
2021-03-09,492108,7606434,6696,478422,3534588,1675676,NA,NA,2021-03-08,16,47,26157,5354,494051,1196,0,10077,7145091,1243,453466,7598557,11320,50,231
2021-03-10,493013,7627320,6705,479267,3533579,1698793,NA,NA,2021-03-09,3,38,26195,5357,495112,1061,266,16464,7161821,3922,457388,7619209,20386,64,243
2021-03-11,494106,7663467,6724,479713,3537474,1747420,NA,NA,2021-03-10,6,44,26239,5363,496243,1131,937,30722,7193480,5816,463204,7656684,36538,63,236
2021-03-12,495208,7697306,6737,480133,3539470,1795517,NA,NA,2021-03-11,14,54,26293,5377,497336,1093,719,30501,7224700,3881,467085,7691785,34382,66,240
2021-03-13,496395,7729438,6741,481167,3544769,1856323,NA,NA,2021-03-12,14,42,26335,5391,498420,1084,905,28129,7253734,3684,470769,7724503,31813,63,260
2021-03-14,497392,7757403,6746,482053,3555115,1914713,NA,NA,2021-03-13,2,36,26371,5393,499064,644,169,24419,7278322,2687,473456,7751778,27106,61,255
2021-03-15,498218,7773967,6747,482984,3561419,1947885,NA,NA,2021-03-14,7,41,26412,5400,499670,606,226,15525,7294073,511,473967,7768040,16036,59,260
2021-03-16,498926,7785093,6749,483942,3562004,1955354,NA,NA,2021-03-15,10,60,26472,5410,501103,1433,0,10557,7304630,1172,475139,7779769,11729,64,257
2021-03-17,499962,7805641,6756,484819,3565769,1987705,NA,NA,2021-03-16,8,62,26534,5418,502477,1374,196,16316,7321142,4442,479581,7800723,20758,67,282
2021-03-18,501458,7847879,6762,485358,3577071,2023574,764275,1303210,2021-03-17,14,69,26603,5432,503792,1315,644,35138,7356924,7013,486594,7843518,42151,74,297
2021-03-19,502893,7887332,6771,485912,3586274,2082088,788495,1337892,2021-03-18,12,56,26659,5444,505131,1339,912,35358,7393194,3616,490210,7883404,38974,74,316
2021-03-20,504273,7919119,6777,487086,3595592,2143348,816289,1371513,2021-03-19,9,57,26716,5453,506443,1312,100,27800,7421094,3781,493991,7915085,31581,77,329
2021-03-21,505224,7949000,6782,488156,3606590,2202673,839860,1408601,2021-03-20,7,52,26768,5460,507314,871,277,26341,7447712,3014,497005,7944717,29355,78,324
2021-03-22,506376,7968369,6782,489279,3614368,2235281,850829,1430349,2021-03-21,11,61,26829,5471,508144,830,122,17795,7465629,1379,498384,7964013,19174,78,319
2021-03-23,507231,7981041,6789,490340,3617073,2246710,854827,1437931,2021-03-22,8,62,26891,5479,509990,1846,130,11708,7477467,1431,499815,7977282,13139,87,324
2021-03-24,508541,8006344,6798,491410,3624885,2271672,862955,1454834,2021-03-23,11,75,26966,5490,511691,1701,545,19829,7497841,5301,505116,8002957,25130,93,332
2021-03-25,510398,8046775,6814,492058,3636621,2305796,878469,1475130,2021-03-24,19,67,27033,5509,513396,1705,587,35339,7533767,4870,509986,8043753,40209,83,345
2021-03-26,512097,8090667,6821,492672,3647648,2363495,903188,1510237,2021-03-25,14,52,27085,5523,515105,1709,352,37452,7571571,5567,515553,8087124,43019,87,357
2021-03-27,513833,8121575,6825,494114,3657256,2441210,936222,1557636,2021-03-26,8,49,27134,5531,516878,1773,206,27156,7598933,3443,518996,8117929,30599,92,366
2021-03-28,515058,8152753,6830,495463,3669163,2512837,976061,1590826,2021-03-27,11,70,27204,5542,518021,1143,194,25941,7625068,5111,524107,8149175,31052,92,356
2021-03-29,516608,8175208,6835,496763,3679107,2545033,990854,1609277,2021-03-28,12,52,27256,5554,519091,1070,93,20481,7645642,1960,526067,8171709,22441,88,344
2021-03-30,517881,8189529,6836,498103,3683495,2580362,1003316,1637771,2021-03-29,17,94,27350,5571,521339,2248,0,13158,7658800,2068,528135,8186935,15226,89,357
2021-03-31,519529,8211019,6848,499395,3689024,2628387,1031749,1658176,2021-03-30,14,75,27425,5585,523484,2145,413,18565,7677778,3454,531589,8209367,22019,102,411
2021-04-01,521667,8253622,6860,500351,3703686,2674667,1057848,1682545,2021-03-31,11,71,27496,5596,525720,2236,281,34558,7712617,8353,539942,8252559,42911,106,425
2021-04-02,524203,8303586,6864,501188,3717258,2740474,1088332,1720811,2021-04-01,8,79,27575,5604,527834,2114,301,40915,7753833,9269,549211,8303044,50184,112,443
2021-04-03,526267,8338754,6875,503024,3726485,2826047,1129863,1770290,2021-04-02,13,79,27654,5617,529881,2047,282,30472,7784587,4731,553942,8338529,35203,111,459
2021-04-04,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-03,8,58,27712,5625,531299,1418,379,29263,7814229,7471,561413,8375642,36734,111,464
2021-04-05,527650,8375597,6885,504712,3740840,2895172,1164187,1808949,2021-04-04,15,103,27815,5640,531924,625,215,18292,7832736,1295,562708,8395444,19587,112,456
2021-04-06,530662,8405105,6889,508094,3751477,2947450,1192051,1841585,2021-04-05,29,116,27931,5669,534672,2748,143,8911,7841790,922,563630,8405420,9833,114,500
2021-04-07,532658,8430709,6908,509834,3760389,2995997,1218492,1871867,2021-04-06,10,99,28030,5679,537132,2460,296,20704,7862790,4849,568479,8431269,25553,138,538
2021-04-08,535182,8474916,6922,510959,3776037,3048429,1247045,1900248,2021-04-07,27,107,28137,5706,539589,2457,554,34739,7898083,8773,577252,8475335,43512,131,566
2021-04-09,537828,8531918,6932,512029,3794533,3118678,1285925,1940081,2021-04-08,17,116,28253,5723,541908,2319,370,48005,7946458,8159,585411,8531869,56164,134,600
2021-04-10,540277,8567524,6944,514294,3806338,3207892,1333998,1994412,2021-04-09,17,116,28369,5740,544152,2244,412,31766,7978636,3510,588921,8567557,35276,134,602
2021-04-11,542053,8602029,6957,516427,3820370,3294231,1386766,2050888,2021-04-10,13,86,28455,5753,545474,1322,706,28770,8008112,4993,593914,8602026,33763,142,618
2021-04-12,544046,8626261,6959,518658,3830249,3344456,1420328,2084627,2021-04-11,33,114,28569,5786,546705,1231,269,20612,8028993,3077,596991,8625984,23689,161,652
2021-04-13,545404,8641543,6962,520800,3835496,3369083,1435236,2102859,2021-04-12,18,110,28679,5804,549230,2525,16,13673,8042682,1773,598764,8641446,15446,159,676
2021-04-14,547101,8665530,6978,522843,3844437,3413928,1460806,2131904,2021-04-13,20,103,28782,5824,551461,2231,217,19898,8062797,3850,602614,8665411,23748,164,681
2021-04-15,549830,8711467,6989,524290,3860044,3466394,1488116,2162665,2021-04-14,20,117,28899,5844,553676,2215,741,36844,8100382,8787,611401,8711783,45631,168,699
2021-04-16,552117,8764206,6995,524915,3874978,3532035,1520040,2198635,2021-04-15,14,112,29011,5858,555708,2032,292,44773,8145447,6735,618136,8763583,51508,165,671
2021-04-17,554536,8804249,7005,527674,3887322,3617216,1563210,2241000,2021-04-16,10,113,29124,5868,557451,1743,497,34622,8180566,6198,624334,8804900,40820,173,675
2021-04-18,556381,8842898,7020,530121,3902960,3687953,1600887,2274426,2021-04-17,7,69,29193,5875,558276,825,359,31007,8211932,6033,630367,8842299,37040,171,688
2021-04-19,557665,8866081,7026,532563,3911831,3731185,1625800,2292756,2021-04-18,24,69,29262,5899,558759,483,187,19450,8231569,3637,634004,8865573,23087,172,684
2021-04-20,558850,8880741,7031,534889,3915190,3748622,1630999,2304975,2021-04-19,1,5,29267,5900,558831,72,187,12851,8244607,2130,636134,8880741,14981,193,686
